LicenseNo,WIPlantNo,BusinessName,DBA,BusinessPhone,StreetAddress,City,StateZip,County,Municipality,GradeBProcessing1,GradeAPermitAuthorization,GeneralProcessing,SpecificProcessing,CheeseManufactured,VarianceStatus,VarianceDate
141046,55-1500,Dairy Farmers of America,Kemps LLC,,"W55 N155 McKinley Blvd
",Cedarburg,"WI, 53012",Ozaukee ,City of Cedarburg,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Fluid Milk, Frozen Dairy Products, Pasteurizer - HTST, Single Service - Grade A",,,
122870,55-145,"Dairy Farmers Of America, Inc.",Dairy Farmers Of America Inc,(816) 801-6286,"N5677 County Road UU
",Fond du Lac,"WI, 54937",Fond du Lac ,Town of Empire,,Grade A Receiving Station,Bovine Milk,,,,
518037,55-1886,"Dairy State Cheese, LLC","Dairy State Cheese, LLC",(715) 435-3144,"6888 State Road 34
",Rudolph,"WI, 54475",Wood ,Village of Rudolph,"Grade B Processing <= 1,000,000 lbs product per year",Grade A Receiving Station,Retail Store,"Cheese Processing, Cream, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products","Asiago, Parmesan and Reggiano, Romano",,
123010,55-484,"Dairyfood USA, Inc.",Dairyfood USA,(608) 437-5598,"2819 County Road F
",Blue Mounds,"WI, 53517",Dane ,Village of Blue Mounds,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Custom Processing","Cut/Wrap/Shred, Other","Pasteurized Blended Cheese, Pasteurized Cheese Spread, Pasteurized Neufchatel Cheese Spread, Pasteurized Process Cheese/Cheese Food, Pasteurized Processed Cheese Spread",,
511206,55-33,Daniel Beachy,Clover Meadows Family Farm,(715) 218-0252,"243749 Beaver Creek Rd
",Athens,"WI, 54411",Marathon ,Town of Bern,,"Grade A Processing <= 2,000,000 lbs. milk received per year",Bovine Milk,"Fluid Milk, Pasteurizer - Batch, Single Service - Grade A, Yogurt",,,
224737,55-522,"Decatur Dairy, Inc.",Decatur Dairy,(608) 897-8661,"W1668 County Road F
",Brodhead,"WI, 53520",Green ,Town of Decatur,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing","Brick, Colby, Muenster (Munster)",,
547078,55-879,DFA Green Bay LLC,DFA Green Bay,,"1552 Lineville Rd
",Green Bay,"WI, 54313",Brown ,Village of Suamico,"Grade B Processing > 1,000,000 lbs product per year",,,"Cheese Processing, LACF, Non-Dairy - Acidified Foods, Non-Dairy - Low Acid Canned Foods, Process Cheese",,,
557619,55-566,Don Chamoy LLC,Don Chamoy Ice Cream Shop,(414) 708-6055,"3920 S 27th St
",Milwaukee,"WI, 53221",Milwaukee ,City of Milwaukee,"Frozen Dairy Product > 200,000 gallons per year",,"Custom Processing, Retail Store",Frozen Dairy Products,,,
289019,55-52,Door County Creamery LLC,Door County Creamery,(303) 775-3216,"10653 N Bayshore Dr
",Sister Bay,"WI, 54234",Door ,Village of Sister Bay,"Grade B Processing <= 1,000,000 lbs product per year",,Goat Milk,"Cheese Processing, Frozen Dairy Products, Pasteurizer - Batch, Raw Milk Cheese",Brick,,
122791,55-19,Door County Ice Cream Company,Door County Ice Cream Factory,(920) 854-9693,"11051 State HWY 42
",Sister Bay,"WI, 54234",Door ,Town of Liberty Grove,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
248969,55-1400,"Dreamfarm, LLC",,,"8877 Table Bluff Rd
",Cross Plains,"WI, 53528",Dane ,Town of Berry,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk",Cheese Processing,,,
123085,55-1349,"Dupont Cheese, Inc.",,(715) 754-5424,"N10140 State Road 110
",Marion,"WI, 54950",Waupaca ,Town of Dupont,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Membrane Processing","Cheddar, Colby, Gouda, Monterey/Monterey Jack",,
248889,55-275,"E.J.Dairy Marketing, Inc.",Ej Dairy Marketing,(715) 693 6662,"N15681 Tieman Ave
",Thorp,"WI, 54771",Clark ,Town of Thorp,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
248888,55-8988,"E.J.Dairy Marketing, Inc.",E.J. Dairy Marketing,(715) 693 6662,"625 River Rd
",Mosinee,"WI, 54455",Marathon ,City of Mosinee,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
123119,55-1955,"Eau Galle Cheese Factory, LLC","Eau Galle Cheese Factory, LLC.",(715) 283-4211,"N6765 State Road 25
",Durand,"WI, 54736",Pepin ,Town of Waubeek,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Membrane Processing, Pasteurizer - HTST","Asiago, Other, Parmesan and Reggiano, Romano",,
327207,55-440,Ehlenbach's Cheese Chalet Inc.,Ehlenbach's Cheese Chalet,(608) 846-4791,"4879 County Road V
",DeForest,"WI, 53532",Dane ,Town of Vienna,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
197187,55-433,Elegant Foods LLC,Elegant Foods LLC,(608) 249-7711,"537 Atlas Ave
",Madison,"WI, 53714",Dane ,City of Madison,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cut/Wrap/Shred, Frozen Dairy Products",,,
122965,55-356,Ellsworth Cooperative Creamery,Ellsworth Coop Creamery,(715) 273-4311,"232 N Wallace St
",Ellsworth,"WI, 54011",Pierce ,Village of Ellsworth,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,"ACaSS, Bovine Milk","Cheese Processing, Condensary/Evap, Cream, Drying Operation, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products",Cheddar,,
505011,55-1104,Ellsworth Menomonie Creamery LLC,,(715) 273-4311 x308,"3001 County Road B
",Menomonie,"WI, 54751",Dunn ,City of Menomonie,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Cream, Cut/Wrap/Shred, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products","Brick, Cheddar, Colby, Gouda, Granular and Stirred Curd, Monterey/Monterey Jack, Muenster (Munster), Semisoft",,
287096,55-14,"Emmi Roth USA, Inc.",,(608) 285-9800,"1525 Vision Dr
",Platteville,"WI, 53818",Grant ,City of Platteville,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Cream, Pasteurizer - HTST, Whey/Whey By Products","Cheddar, Gouda, Gruyere, Semisoft",,
122838,55-95,"Emmi Roth USA, Inc.",Emmi Roth USA,(608) 285-9800,"657 2nd St
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Cream, Pasteurizer - HTST, Whey/Whey By Products","Gouda, Gruyere",,
522059,55-1050,"Emmi Roth USA, Inc.",,(608) 285-9800,"1800 Williams Dr
",Stoughton,"WI, 53589",Dane ,Town of Pleasant Springs,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk",Cut/Wrap/Shred,,,
330076,55-1801,"Emmi Roth USA, Inc.",Emmi Roth,(608) 285-9800,"124 E Bronson Rd
",Seymour,"WI, 54165",Outagamie ,City of Seymour,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Cut/Wrap/Shred, Pasteurizer - HTST, Whey/Whey By Products","Bleu, Gorgonzola",,
122988,55-411,"Fairway Dairy Company, L.L.C.","Fairway Dairy & Ingredients, LLC ATTN: Controller",(952) 431-8400,"505 N Adams St
",Thorp,"WI, 54771",Clark ,City of Thorp,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Butter Processing, Cut/Wrap/Shred",,,
507360,55-86,"Family Fresh Pack, Inc.",,(608) 938-4494,"520 N Pratt Rd
",Monticello,"WI, 53570",Green ,Village of Monticello,"Grade B Processing > 1,000,000 lbs product per year",,Other Type of Milk,Cut/Wrap/Shred,"Asiago, Bleu, Cheddar, Colby, Edam, Gorgonzola, Gouda, Grated Cheese, Gruyere, Muenster (Munster), Parmesan and Reggiano, Romano",,
507362,55-825,"Family Fresh Pack, Inc.",,(608) 938-4494,"110 112 Pratt Road
",Monticello,"WI, 53570",Green ,Village of Monticello,"Grade B Processing > 1,000,000 lbs product per year",,Other Type of Milk,,"Cold Pack Cheese/Cheese Food, Cream Cheese, Pasteurized Process Cheese/Cheese Food, Pasteurized Processed Cheese Spread",,
537369,55-2175,Farm Stapels LLC,Farm Stapels LLC,(920) 946-2410,"W3653 Hoitink Rd
",Cedar Grove,"WI, 53013",Sheboygan ,Town of Holland,,"Grade A Processing <= 2,000,000 lbs. milk received per year","Bovine Milk, Retail Store","Fluid Milk, Pasteurizer - Batch",,,
522820,55-1114,Farmer Boy Creamery LLC,Farmer Boy Creamery LLC,(715) 721-0766,"W1658 County Road A
",Dorchester,"WI, 54425",Clark ,Town of Mayville,,"Grade A Processing <= 2,000,000 lbs. milk received per year",Bovine Milk,"Fluid Milk, Pasteurizer - Batch, Powder Mixing/Blending, Single Service - Grade A",,,
122889,55-219,FarmFirst Dairy Cooperative,Family Dairies USA,(608) 244-3373,"1626 N Fond du Lac Ave
",Kewaskum,"WI, 53040",Washington ,Village of Kewaskum,,Grade A Receiving Station,Bovine Milk,,,,
332262,55-739,Feltz Family Farms Inc.,Feltz's Dairy Store,(715) 344-1293,"5796 Porter Drive
",Stevens Point,"WI, 54482",Portage ,Town of Plover,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Pasteurizer - Batch,Cheddar,,
122874,55-151,"First Choice Ingredients, Inc.","First Choice Ingredients, Inc",(262) 251-4322,"N112W19528 Mequon Rd
",Germantown,"WI, 53022",Washington ,Village of Germantown,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,Pasteurized Process Cheese/Cheese Food,,
319344,55-395,"First Choice Ingredients, Inc.",First Choice Ingredients,(262) 251-4322,"N92W14884 Anthony Ave
",Menomonee Falls,"WI, 53051",Waukesha ,Village of Menomonee Falls,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,Pasteurized Process Cheese/Cheese Food,,
122779,55-2,"Foremost Farms USA, Cooperative",Foremost Farms USA Cooperative,(608) 355-8700,"1815 W Spencer St
",Appleton,"WI, 54912",Outagamie ,City of Appleton,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Brine System, Cheese Processing, Condensary/Evap, Cut/Wrap/Shred, Membrane Processing, Powder Mixing/Blending, Whey/Whey By Products","Mozzarella, Muenster (Munster), Provolone",,
122811,55-45,"Foremost Farms USA, Cooperative",Foremost Farms USA Cooperative,(608) 355-8700,"240 Prentice St N
",Clayton,"WI, 54004",Polk ,Village of Clayton,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Brine System, Cheese Processing, Condensary/Evap, Cut/Wrap/Shred, Membrane Processing, Whey/Whey By Products","Mozzarella, Provolone",,
122843,55-107,"Foremost Farms USA, Cooperative",Foremost Farms USA Cooperative,(608) 355-8700,"684 S Church St
",Richland Center,"WI, 53581",Richland ,City of Richland Center,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,"ACaSS, Bovine Milk","Brine System, Cheese Processing, Condensary/Evap, Cut/Wrap/Shred, Membrane Processing, Powder Mixing/Blending, Whey/Whey By Products","Mozzarella, Other, Provolone",,
122968,55-360,"Foremost Farms USA, Cooperative",Foremost Farms USA Cooperative,(608) 355-8700,"501 S Pine St
",Reedsburg,"WI, 53959",Sauk ,City of Reedsburg,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,"ACaSS, Bovine Milk","Butter Processing, Condensary/Evap, Cream",,,
123058,55-820,"Foremost Farms USA, Cooperative","Foremost Farms USA, Cooperative",(608) 355-8700,"932 N Madison St
",Lancaster,"WI, 53813",Grant ,City of Lancaster,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Condensary/Evap, Membrane Processing, Whey/Whey By Products","Cheddar, Colby, Monterey/Monterey Jack",,
123118,55-1950,"Foremost Farms USA, Cooperative","Foremost Farms USA, Cooperative",(608) 355-8700,"1511 E 4th St
",Marshfield,"WI, 54449",Wood ,City of Marshfield,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Condensary/Evap, Membrane Processing, Whey/Whey By Products","Cheddar, Colby, Monterey/Monterey Jack",,
330170,55-485,"Freedom Warehousing, Inc.","Freedom Warehousing, Inc.",(715) 267-6591,"W7014 County Hwy MM
",Greenwood,"WI, 54437",Clark ,Town of Warner,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,"Cheddar, Colby, Monterey/Monterey Jack, Mozzarella, Muenster (Munster), Parmesan and Reggiano, Provolone, Swiss and Emmentaler",,
332064,55-542,"Fromage Spa, LLC",,(920) 510-4957,"341 N Henry St
",Green Bay,"WI, 54313",Brown ,City of Green Bay,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
527755,55-906,"Fromage Spa, LLC",,(920) 510-4957,"430 N Henry
",Green Bay,"WI, 54302",Brown ,City of Green Bay,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
522494,55-1133,"Fromage Spa, LLC",,(920) 510-4957,"855 Hickory St
",Cleveland,"WI, 53015",Manitowoc ,Village of Cleveland,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
331972,55-469,Galloway Company,Galloway Co,(920) 722-7741,"601 S Commercial St
",Neenah,"WI, 54957",Winnebago ,City of Neenah,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Condensary/Evap, Frozen Dairy Products, Membrane Processing, Pasteurizer - HHST, Pasteurizer - HTST",,,
518678,55-1052,"Gardner's Wisconsin Cheese, LLC","Gardner's Wisconsin Cheese, LLC",(715) 660-8753,"10558 County Road B
",Marshfield,"WI, 54449",Wood ,Town of Lincoln,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
307025,55-375,"Gehl Food, LLC",Gehl Foods,(262) 735-7292,"N116W15970 Main St
",Germantown,"WI, 53022",Washington ,Village of Germantown,,"Grade A Processing > 2,000,000 lbs. milk received per year",Bovine Milk,"Aseptic or Canning, Non-Dairy - Low Acid Canned Foods",,,
123077,55-1099,"Gibbsville Cheese Company, Inc.","Gibbsville Cheese Co., Inc",(920) 564-3242,"W2663 County Road OO
",Sheboygan Falls,"WI, 53085",Sheboygan ,Town of Lima,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Retail Store","Cheese Processing, Cut/Wrap/Shred, Pasteurizer - HTST","Cheddar, Colby, Gouda, Monterey/Monterey Jack, Washed Curd and Soaked Curd",,
245582,55-116,"Gile Cheese, LLC","Gile Cheese, LLC",(608) 744-3456,"116 N Main St
",Cuba City,"WI, 53807",Grant ,City of Cuba City,"Grade B Processing <= 1,000,000 lbs product per year",,Retail Store,Cut/Wrap/Shred,,,
329850,55-350,Gilman Acquisition Inc.,Gilman Cheese Corporation,(715) 447-8241,"300 S Riverside Dr
",Gilman,"WI, 54433",Taylor ,Village of Gilman,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,Pasteurized Process Cheese/Cheese Food,,
274616,55-1097,"Glacier Point Cheese, LLC",Glacier Point Cheese,(608) 623-2610,"300 Jackson St
",Linden,"WI, 53553",Iowa ,Village of Linden,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk, Sheep Milk",Cheese Processing,"Bleu, Gorgonzola",,
310687,55-290,"Glas All Naturals, LLC",Glas All Naturals,(262) 770-0280,"1072 288th Ave
",Burlington,"WI, 53105",Kenosha ,Town of Brighton,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,,Cold Pack Cheese/Cheese Food,,
522955,55-1100,Gouda Group LLC,Heartisan Foods - Barron County Cheese,(715) 641-1076,"1623B US Highway 8
",Barron,"WI, 54812",Barron ,Town of Barron,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Custom Processing",Cut/Wrap/Shred,,,
522958,55-1200,Gouda Group LLC,Heartisan Foods,(715) 641-1076,"1623A US Highway 8
",Barron,"WI, 54812",Barron ,Town of Barron,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,,Pasteurized Cheese Spread,,
522959,55-1300,Gouda Group LLC,Heartisan Foods - North Country Packaging,(715) 641-1076,"147 Lake Almena Dr
",Almena,"WI, 54805",Barron ,Village of Almena,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
291615,55-66,GRANDE CHEESE COMPANY,Grande Custom Ingredients Group,(920) 952-7403,"N2689 County Road S
",Juda,"WI, 53550",Green ,Town of Sylvester,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Condensary/Evap, Drying Operation, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products",,,
122887,55-213,GRANDE CHEESE COMPANY,Grande Cheese Company,(920) 952-7403,"W1234 Rome Rd
",Rubicon,"WI, 53078",Dodge ,Town of Rubicon,"Grade B Processing > 1,000,000 lbs product per year","Grade A Receiving Station, Grade A Transfer Station",Bovine Milk,"Brine System, Cheese Processing, Cream, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products","Asiago, Cheddar, Hard, Mozzarella, Parmesan and Reggiano, Provolone, Romano",,
122907,55-267,GRANDE CHEESE COMPANY,Grande Cheese Custom Ingredients Group,(920) 952-7403,"N11689 Dairy Rd
",Brownsville,"WI, 53006",Dodge ,Town of LeRoy,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Brine System, Cheese Processing, Condensary/Evap, Cream, Drying Operation, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products",Mozzarella,,
122909,55-270,GRANDE CHEESE COMPANY,Grande Cheese Company,(920) 952-7403,"181 W Monroe St
",Wyocena,"WI, 53969",Columbia ,Village of Wyocena,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Brine System, Cheese Processing, Cream, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products","Mozzarella, Provolone",,
560938,55-340,GRANDE CHEESE COMPANY,,(920) 952-7403,"W3240 County Road F
",Chilton,"WI, 53014",Calumet ,Town of Chilton,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Brine System, Cheese Processing, Cream, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products",Mozzarella,,
316238,55-347,GRANDE CHEESE COMPANY,Grande Cheese Company,(920) 952-7403,"420 Trowbridge Dr
",Fond du Lac,"WI, 54937",Fond du Lac ,City of Fond du Lac,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Affinage (Aging),Romano,,
123021,55-519,GRANDE CHEESE COMPANY,Grande Cheese Company,(920) 952-7403,"N2607 County Road S
",Juda,"WI, 53550",Green ,Town of Sylvester,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Brine System, Cheese Processing, Condensary/Evap, Cream, Drying Operation, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products",Mozzarella,,
123043,55-702,GRANDE CHEESE COMPANY,Grande Cheese Company,(920) 952-7403,"246 Trowbridge Dr
",Fond du Lac,"WI, 54935",Fond du Lac ,City of Fond du Lac,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cheese Processing, Cut/Wrap/Shred","Asiago, Cheddar, Granular and Stirred Curd, Mozzarella, Parmesan and Reggiano, Provolone, Romano",,
123120,55-2185,GRANDE CHEESE COMPANY,Grande Custom Ingredients Group,(920) 952-7403,"1007 W Lake St
",Friendship,"WI, 53934",Adams ,Village of Friendship,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year",Bovine Milk,"Condensary/Evap, Drying Operation, Membrane Processing, Pasteurizer - Batch, Pasteurizer - HTST, Whey/Whey By Products",,,
298648,55-8995,GRANDE CHEESE COMPANY,,(920) 952-7403,"302 E Main St
",Lomira,"WI, 53048",Dodge ,Village of Lomira,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Pasteurizer - Batch, Pasteurizer - HTST","Mozzarella, Parmesan and Reggiano, Provolone, Romano",,
122928,55-304,"Grassland Dairy Products, Inc.",Grassland Dairy Products Inc.,(715) 267-6182,"N8790 Fairground Ave
",Greenwood,"WI, 54437",Clark ,Town of Eaton,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Butter Processing, Condensary/Evap, Cream, Drying Operation, Fluid Milk, Membrane Processing, Pasteurizer - HTST, Powder Mixing/Blending",,,
226961,55-544,"Grassland Dairy Products, Inc.",Grassland Dairy Products Inc,(715) 267-6182,"423 S Main St
",Greenwood,"WI, 54437",Clark ,City of Greenwood,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Butter Processing, Condensary/Evap, Cream, Fluid Milk, Membrane Processing, Pasteurizer - HTST",,,
330498,55-474,"Great Lakes Cheese Company, Inc.","Great Lakes Cheese Company, Inc.",(715) 841-4100,"9912 Innovation Way
",Wausau,"WI, 54401",Marathon ,City of Wausau,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,,,
122829,55-69,"Great Lakes Cheese of La Crosse, Wisconsin, Inc.",Great Lakes Cheese Of La Crosse,(608) 781-2800,"2200 Enterprise Ave
",La Crosse,"WI, 54603",La Crosse ,City of La Crosse,"Grade B Processing > 1,000,000 lbs product per year",,ACaSS,"LACF, Process Cheese","Pasteurized Process Cheese/Cheese Food, Pasteurized Processed Cheese Spread",,
122900,55-250,"Great Lakes Cheese of Wisconsin, Inc.",Great Lakes Cheese Of Wisconsin  Inc.,(920) 893-1121,"2602 County Road PP
",Plymouth,"WI, 53073",Sheboygan ,City of Plymouth,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,,,
510777,55-1478,Harmony Cheese LLC,Harmony Cheese LLC - Athens Plant,(920) 351-3555,"122480 Schnappsville Rd
",Athens,"WI, 54411",Marathon ,Town of Rietbrock,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
123033,55-635,"Henning Cheese, Inc.",,(920) 894-3032,"20201 Point Creek Rd
",Kiel,"WI, 53042",Manitowoc ,Town of Schleswig,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Retail Store","Brine System, Cheese Processing, Cut/Wrap/Shred","Cheddar, Colby, Gouda, Monterey/Monterey Jack, Mozzarella",,
516416,55-822,Hidden Springs Creamery LLC,Hidden Springs Creamery,(608) 632-5984,"S1597 Hanson Rd
",Westby,"WI, 54667",Vernon ,Town of Clinton,"Grade B Processing <= 1,000,000 lbs product per year",,Sheep Milk,"Affinage (Aging), Cheese Processing, Pasteurizer - Batch","Hard, Pasteurized Neufchatel Cheese Spread",,
322813,55-419,"Hill Valley Dairy, LLC",,(262) 745-8699,"138 W Bruce St
",Milwaukee,"WI, 53204",Milwaukee ,City of Milwaukee,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Pasteurizer - HTST","Cheddar, Gouda, Hard",,
331925,55-529,"Hill Valley Dairy, LLC",Hill Valley Dairy,(262) 745-8699,"N8207 Bell School Rd
",East Troy,"WI, 53120",Walworth ,Town of East Troy,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Cut/Wrap/Shred",,,
256139,55-573,"Hillbilly Hollow, LLC",Hillbilly Hollow,(715) 522-0041,"4570 County Road S
",Conover,"WI, 54519",Vilas ,Town of Conover,"Grade B Processing <= 1,000,000 lbs product per year",,Goat Milk,"Cheese Processing, Cut/Wrap/Shred, Frozen Dairy Products, Pasteurizer - Batch",,,
331517,55-1808,Hilltop Dairy Cooperative of Baldwin,Hilltop Dairy,(715) 688-4323,"672 230th St
",Woodville,"WI, 54028",Saint Croix ,Town of Baldwin,"Grade B Processing > 1,000,000 lbs product per year",,Goat Milk,,,,
295649,55-128,Holland's Family Cheese LLC,Marieke Gouda,(715) 669-5230,"200 W Liberty Dr
",Thorp,"WI, 54771",Clark ,City of Thorp,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Cut/Wrap/Shred","Cheddar, Gouda",,
331993,55-541,Holmen Cheese LLC,"Holmen Cheese, LLC",(715) 564-9100,"1775 Granary St
",Holmen,"WI, 54636",La Crosse ,Town of Onalaska,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Pasteurizer - Batch","Pasteurized Process Cheese/Cheese Food, Pasteurized Processed Cheese Spread",,
505969,55-581,"Homestead Cheese Processors, LLC","Homestead Cheese Processors, LLC",(920) 980-2730,"N3481 E County Road A
",Sheboygan Fls,"WI, 53085",Sheboygan ,Town of Wilson,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
196376,55-725,"Honey Grove Ice Cream Co., LLC",,(262) 334-2213,"2500 S River Rd
",West Bend,"WI, 53095",Washington ,City of West Bend,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
123090,55-1472,"Hook's Cheese Company, Inc.",,(608) 987-3259,"320 Commerce St
",Mineral Point,"WI, 53565",Iowa ,City of Mineral Point,"Grade B Processing <= 1,000,000 lbs product per year",,"Bovine Milk, Goat Milk, Sheep Milk","Affinage (Aging), Cheese Processing, Pasteurizer - HTST","Bleu, Cheddar, Colby, Gorgonzola, Gouda, Monterey/Monterey Jack, Parmesan and Reggiano, Swiss and Emmentaler",,
122925,55-300,Hormel Foods Corporation,Century Foods International,(608) 269-1900,"400 Century Crt
",Sparta,"WI, 54656",Monroe ,City of Sparta,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Powder Mixing/Blending, Whey/Whey By Products",,,
122960,55-349,Hormel Foods Corporation,Century Foods International,(608) 269-1900,"915 Hoeschler Dr
",Sparta,"WI, 54656",Monroe ,City of Sparta,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Powder Mixing/Blending,,,
123126,55-8975,Hormel Foods Corporation,Century Foods International,(608) 269-1900,"920 Industrial Dr
",Sparta,"WI, 54656",Monroe ,City of Sparta,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,,Pasteurized Process Cheese/Cheese Food,,
529034,55-792,Horseshoe Beverage Company LLC,,(920) 486-8300,"590 Enterprise Dr
",Neenah,"WI, 54956",Winnebago ,City of Neenah,,"Grade A Processing > 2,000,000 lbs. milk received per year",,"LACF, Non-Dairy - Low Acid Canned Foods",,,
